movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Sherlock Holmes: A Game of Shadows,"$543,848,418.00","$186,848,418.00",34.40%,"$357,000,000.00",65.60%
Despicable Me,"$543,113,985.00","$251,513,985.00",46.30%,"$291,600,000.00",53.70%
Cinderella,"$542,351,353.00","$201,151,353.00",37.10%,"$341,200,000.00",62.90%
World War Z,"$540,007,876.00","$202,359,711.00",37.50%,"$337,648,165.00",62.50%
Brave,"$538,983,207.00","$237,283,207.00",44%,"$301,700,000.00",56%
The Revenant,"$532,950,503.00","$183,637,894.00",34.50%,"$349,312,609.00",65.50%
The Meg,"$530,243,742.00","$145,443,742.00",27.40%,"$384,800,000.00",72.60%
Ralph Breaks the Internet,"$529,323,962.00","$201,091,711.00",38%,"$328,232,251.00",62%
Hotel Transylvania 3: Summer Vacation,"$528,583,774.00","$167,510,016.00",31.70%,"$361,073,758.00",68.30%
The Boss Baby,"$527,965,936.00","$175,003,033.00",33.10%,"$352,962,903.00",66.90%
Dunkirk,"$525,245,546.00","$188,045,546.00",35.80%,"$337,200,000.00",64.20%
Godzilla,"$524,976,069.00","$200,676,069.00",38.20%,"$324,300,000.00",61.80%
How to Train Your Dragon: The Hidden World,"$521,799,505.00","$160,799,505.00",30.80%,"$361,000,000.00",69.20%
Kung Fu Panda 3,"$521,170,825.00","$143,528,619.00",27.50%,"$377,642,206.00",72.50%
Ant-Man,"$519,311,965.00","$180,202,163.00",34.70%,"$339,109,802.00",65.30%
The Grinch,"$511,595,957.00","$270,620,950.00",52.90%,"$240,975,007.00",47.10%
Venom: Let There Be Carnage,"$506,863,592.00","$213,550,366.00",42.10%,"$293,313,226.00",57.90%
Rio 2,"$498,781,117.00","$131,538,435.00",26.40%,"$367,242,682.00",73.60%
How to Train Your Dragon,"$494,878,759.00","$217,581,231.00",44%,"$277,297,528.00",56%
Oz the Great and Powerful,"$493,311,825.00","$234,911,825.00",47.60%,"$258,400,000.00",52.40%
Clash of the Titans,"$493,214,993.00","$163,214,888.00",33.10%,"$330,000,105.00",66.90%
